activity,130 lb,155 lb,180 lb,205 lb,Calories per kg,avg_calories,calories_per_130lb,calories_per_155lb,calories_per_180lb,calories_per_205lb,intensity,activity_type,normalized_calories_per_kg,estimated_met
Walking using crutches (var 2),282.59,305.96,425.47,501.59,0.9,423.2,262.89,368.19,389.95,461.63,Unknown,Other,0.19,5.14
"Walking 2.0 mph, slow (var 31)",158.04,160.57,223.05,254.41,0.57,191.09,135.47,169.71,186.92,213.2,Low,Other,0.05,2.8
"Walk / run, playing with animals (var 81)",223.31,282.18,291.88,325.94,0.89,286.68,254.21,264.35,346.28,400.07,Unknown,Other,0.14,3.93
Jazzercise (var 76),312.23,483.05,427.4,585.95,1.31,504.97,405.24,423.71,486.83,535.08,Unknown,Other,0.26,7.16
"Canoeing, rowing, light (var 48)",152.44,233.67,213.39,267.34,0.66,198.91,167.06,232.78,269.77,281.31,Low,Cardio,0.09,3.52
"Hockey, field hockey (var 6)",453.86,589.73,727.91,700.39,1.47,680.26,510.98,636.92,644.36,658.44,Unknown,Other,0.43,9.6
"Running, 10.9 mph (5.5 min mile) (var 24)",1026.68,1104.75,1271.58,1653.81,3.43,1224.45,928.12,1081.15,1602.14,1649.09,Unknown,Cardio,0.94,16.65
"Loading, unloading car (var 23)",169.13,217.37,230.32,253.97,0.64,235.98,183.21,197.66,269.74,246.24,Unknown,Other,0.1,3.7
Taking out trash (var 51),162.34,192.06,211.69,283.56,0.62,223.64,158.82,238.03,266.87,266.43,Unknown,Other,0.1,3.39
"Aerobics, low impact (var 41)",334.02,300.69,429.65,517.31,0.93,412.69,297.49,348.48,432.19,515.96,Unknown,Cardio,0.21,5.14
Archery (var 27),198.12,227.59,325.31,282.11,0.63,247.58,186.16,213.87,299.34,310.32,Unknown,Other,0.1,4.26
Water volleyball (var 22),151.63,238.75,273.18,303.84,0.57,239.86,169.52,220.34,220.68,308.07,Unknown,Other,0.08,3.49
"Walking, under 2.0 mph, very slow (var 61)",107.82,158.57,179.75,170.92,0.47,144.79,112.04,142.52,148.71,176.46,Low,Other,0.03,2.16
"Paddleball, competitive (var 97)",558.88,677.78,698.47,852.08,1.94,788.19,540.3,645.63,850.72,957.76,Unknown,Other,0.52,9.98
Darts (wall or lawn) (var 86),168.62,191.41,202.36,255.13,0.51,171.32,164.07,161.69,231.58,221.17,Unknown,Other,0.05,2.48
"Skiing, water skiing (var 60)",354.01,400.58,478.43,589.23,1.16,449.74,336.32,428.06,516.82,618.44,Unknown,Other,0.25,5.84
Paddle boat (var 2),226.9,292.31,372.6,376.31,0.73,269.3,240.31,267.32,311.69,318.36,Unknown,Other,0.16,3.71
"Football, competitive (var 58)",493.23,665.99,810.23,927.3,2.06,675.21,538.63,541.78,659.83,955.87,Unknown,Other,0.45,11.03
"Gardening, general (var 56)",237.13,302.01,322.99,352.09,0.7,286.97,245.58,266.43,305.45,363.11,Unknown,Other,0.16,4.3
Swimming synchronized (var 9),479.89,564.01,678.32,708.06,1.77,577.02,405.25,484.8,684.48,648.19,Unknown,Other,0.43,9.6
Swimming backstroke (var 49),380.19,471.42,642.68,586.83,1.37,483.52,364.04,438.12,573.2,726.31,Unknown,Other,0.3,7.87
"Rowing machine, vigorous (var 77)",538.53,667.12,797.57,754.35,1.89,559.28,464.85,521.46,691.39,785.94,High,Cardio,0.39,9.62
"Circuit training, minimal rest (var 56)",411.66,639.07,670.39,672.92,1.46,520.03,469.02,584.78,630.14,819.25,Unknown,Other,0.34,9.01
"Running, 5 mph (12 minute mile) (var 16)",537.32,611.32,595.84,725.79,1.87,569.95,458.91,642.13,613.67,801.29,Unknown,Cardio,0.42,8.08
Swimming butterfly (var 75),677.88,729.83,960.76,885.61,2.42,759.73,641.67,866.35,956.95,1065.28,Unknown,Other,0.56,11.56
"Rock climbing, rappelling (var 29)",440.63,638.37,642.19,702.02,1.44,582.66,403.9,603.38,750.57,818.57,Unknown,Other,0.43,9.89
Kickball (var 35),368.14,563.74,579.81,616.27,1.32,583.84,391.7,496.11,576.84,681.82,Unknown,Other,0.37,7.5
Jazzercise (var 46),383.68,406.14,458.63,482.68,1.08,418.06,378.97,478.07,479.99,637.45,Unknown,Other,0.24,6.99
"Circuit training, minimal rest (var 48)",508.0,514.59,569.57,851.58,1.78,648.14,502.39,505.93,592.45,794.49,Unknown,Other,0.35,9.17
"Downhill snow skiing, moderate (var 23)",302.43,360.62,448.46,557.04,1.17,435.14,311.95,454.14,524.41,513.26,Moderate,Other,0.31,6.29
"Aerobics, high impact (var 80)",453.97,530.82,594.73,673.25,1.29,534.25,403.43,546.59,572.78,651.29,High,Cardio,0.34,6.74
"Cross country snow skiing, slow (var 97)",358.23,454.51,590.12,670.16,1.31,514.38,381.75,532.49,600.88,607.14,Low,Other,0.33,7.05
"Cycling, 12-13.9 mph, moderate (var 18)",510.06,606.74,738.1,784.92,1.76,577.8,482.56,583.39,721.67,668.85,Moderate,Cardio,0.43,8.93
"Running, 5 mph (12 minute mile) (var 23)",502.78,567.66,568.61,664.63,1.55,573.57,437.06,487.93,677.34,726.14,Unknown,Cardio,0.38,9.08
"Stationary cycling, very light (var 85)",151.33,179.88,270.9,301.79,0.65,213.58,186.39,210.47,234.46,288.27,Low,Cardio,0.1,2.88
"Walk/run, playing with children, moderate (var 65)",211.98,315.8,307.27,409.0,0.81,289.91,230.17,299.22,316.11,375.53,Moderate,Other,0.17,3.8
Curling (var 5),263.54,299.65,366.72,396.67,0.79,300.69,226.98,266.95,333.6,351.06,Unknown,Other,0.15,4.22
Walking 4.5 mph (var 6),403.66,428.76,545.3,656.57,1.19,541.13,359.61,486.38,469.3,538.98,Unknown,Other,0.29,6.63
"Ice skating, average speed (var 71)",399.06,456.64,565.11,689.39,1.34,586.94,465.2,445.64,554.27,714.01,Unknown,Other,0.28,8.05
Pushing a wheelchair (var 1),243.43,278.0,361.74,340.92,0.87,307.88,228.99,296.96,335.45,391.88,Unknown,Other,0.16,4.21
"Cycling, 14-15.9 mph, vigorous (var 82)",559.05,760.54,780.8,964.0,1.86,851.16,586.87,715.22,748.11,849.94,High,Cardio,0.59,11.3
Instructing aerobic class (var 98),322.83,359.35,550.65,522.14,1.24,412.64,344.05,401.71,500.39,504.79,Unknown,Other,0.25,7.4
"Frisbee, ultimate frisbee (var 75)",499.84,531.51,564.99,806.2,1.61,622.63,408.49,628.98,646.48,803.74,Unknown,Other,0.34,8.72
"Carrying 25 to 49 lbs, upstairs (var 45)",483.88,558.13,723.37,725.43,1.51,656.76,437.11,501.98,686.39,844.24,Unknown,Other,0.39,7.39
"Basketball, wheelchair (var 83)",392.13,460.58,452.08,563.06,1.41,424.19,420.01,473.6,482.73,592.74,Unknown,Other,0.28,8.0
"Basketball, wheelchair (var 78)",361.45,431.85,539.31,529.6,1.37,538.48,406.72,489.52,554.38,642.66,Unknown,Other,0.28,6.09
"Ice skating, average speed (var 8)",382.13,429.44,558.44,743.81,1.51,501.29,397.1,486.36,561.47,559.36,Unknown,Other,0.37,7.41
Juggling (var 13),214.68,275.19,340.56,346.84,0.82,290.13,261.03,257.71,365.93,390.78,Unknown,Other,0.13,4.61
Orienteering (var 53),559.62,651.05,695.88,887.67,1.87,734.27,458.02,601.6,651.63,851.2,Unknown,Other,0.5,10.08
"Sit, playing with animals (var 98)",148.92,162.05,183.51,256.34,0.47,174.52,142.67,191.57,181.16,235.05,Unknown,Other,0.06,2.71
"Hockey, ice hockey (var 50)",504.2,554.53,693.6,804.18,1.7,697.91,420.19,595.51,679.86,633.7,Unknown,Other,0.43,8.48
"Rowing machine, vigorous (var 17)",482.62,684.97,776.72,832.7,1.72,614.77,465.81,622.45,637.28,740.47,High,Cardio,0.41,8.12
Ski machine (var 14),396.39,462.07,615.7,674.09,1.42,500.07,355.54,476.04,528.73,629.1,Unknown,Other,0.38,8.2
"Shuffleboard, lawn bowling (var 79)",176.21,217.08,258.85,299.92,0.57,196.12,189.57,180.34,276.78,251.34,Unknown,Other,0.08,3.48
"Skin diving, fast (var 60)",889.83,1142.47,1313.39,1543.44,3.63,1392.18,832.77,1272.98,1148.85,1435.23,High,Other,0.89,14.94
"Horse grooming, moderate (var 77)",325.18,459.48,549.69,587.21,1.35,449.4,385.4,432.26,474.46,605.67,Moderate,Other,0.28,6.57
Horseshoe pitching (var 17),155.38,233.66,230.86,284.05,0.65,206.89,175.17,206.93,210.42,270.25,Unknown,Other,0.08,3.61
Walking downstairs (var 26),186.25,181.2,208.42,275.79,0.58,231.23,193.6,188.06,250.24,317.09,Unknown,Other,0.1,3.2
General cleaning (var 94),227.61,268.18,283.0,350.13,0.82,229.11,233.04,226.1,309.4,370.15,Unknown,Other,0.12,3.43
"Cross country skiing, moderate (var 11)",540.39,502.68,578.43,788.29,1.59,533.71,453.62,528.13,686.06,658.65,Moderate,Other,0.4,7.59
"Cross country skiing, racing (var 40)",772.25,1044.31,1177.47,1167.4,2.7,1029.38,740.57,882.49,1136.95,1192.19,High,Other,0.8,14.09
"Walking, under 2.0 mph, very slow (var 3)",102.61,137.14,148.76,194.27,0.43,159.66,129.7,159.57,179.13,163.53,Low,Other,0.03,2.4
"Climbing hills, carrying up to 9 lbs (var 13)",457.67,492.31,557.19,742.17,1.47,539.55,361.06,518.64,606.39,740.72,Unknown,Other,0.29,6.61
"Horseback riding, grooming horse (var 43)",228.4,277.35,325.33,340.07,0.69,267.01,210.09,273.04,327.24,346.55,Unknown,Other,0.14,3.79
Curling (var 62),239.5,281.43,349.88,326.85,0.77,312.56,213.83,320.86,317.96,385.67,Unknown,Other,0.14,4.7
Water volleyball (var 90),151.49,182.25,216.36,303.43,0.6,199.56,155.29,207.79,246.67,252.37,Unknown,Other,0.09,3.3
"Running, 7.5mph (8 min mile) (var 17)",716.36,970.16,1126.96,1195.33,2.85,903.35,752.32,867.63,1056.9,1048.16,Unknown,Cardio,0.67,13.01
"Boxing, punching bag (var 70)",338.37,481.73,526.12,607.58,1.1,428.39,372.27,472.51,442.06,513.31,Unknown,Other,0.26,6.05
"Surfing, body surfing or board surfing (var 62)",195.27,202.18,238.24,296.2,0.58,215.91,172.13,222.18,225.66,265.89,Unknown,Other,0.08,3.71
"Track and field (shot, discus) (var 25)",222.43,319.22,344.07,385.47,0.85,302.32,206.08,263.86,298.37,322.4,Unknown,Other,0.14,4.78
"Stretching, hatha yoga (var 80)",258.43,269.28,280.3,348.36,0.76,280.07,221.51,262.65,344.36,331.88,Unknown,Flexibility,0.13,4.62
"Weight lifting, body building, vigorous (var 66)",318.31,464.41,509.96,591.95,1.37,444.32,396.95,441.14,493.74,544.33,High,Strength,0.25,5.54
"Children's games, hopscotch, dodgeball (var 98)",321.35,343.82,364.5,495.54,1.05,334.85,328.77,343.14,463.01,503.61,Unknown,Other,0.2,5.42
Kayaking (var 51),266.61,359.59,362.91,483.57,0.91,359.62,277.06,388.53,413.8,397.01,Unknown,Other,0.19,4.63
"Running, 8.6 mph (7 min mile) (var 41)",747.39,942.3,1117.64,1328.08,3.02,956.15,839.54,938.98,1042.83,1344.81,Unknown,Cardio,0.7,17.36
Lacrosse (var 76),452.9,547.09,582.07,719.51,1.56,640.26,482.82,613.59,692.28,744.16,Unknown,Other,0.39,9.22
"Calisthenics, light (var 98)",235.93,211.26,257.38,373.4,0.78,305.76,203.15,273.86,247.45,288.1,Low,Strength,0.1,4.19
"Running, 8.6 mph (7 min mile) (var 65)",749.28,1047.14,1306.81,1454.21,3.2,1184.18,802.2,1085.42,1271.53,1245.73,Unknown,Cardio,0.76,12.99
"Volleyball, beach (var 42)",423.72,578.02,678.09,807.55,1.56,610.69,427.21,624.14,617.38,637.47,Unknown,Other,0.34,9.9
Trampoline (var 54),188.41,234.32,250.99,371.48,0.77,230.61,226.42,216.03,321.5,345.28,Unknown,Other,0.12,3.68
Wrestling (var 14),384.27,410.5,444.69,481.97,1.22,518.81,332.36,359.99,451.01,592.0,Unknown,Other,0.24,6.44
"Loading, unloading car (var 63)",201.65,186.23,230.13,248.33,0.66,258.27,163.46,227.05,247.44,257.38,Unknown,Other,0.08,2.94
"Sledding, tobagganing, luge (var 31)",403.81,561.55,653.88,593.9,1.4,582.39,466.91,469.47,600.68,740.49,Unknown,Other,0.33,7.34
Health club exercise (var 99),306.57,334.09,384.18,565.65,1.14,396.4,294.73,429.6,445.69,479.19,Unknown,Other,0.23,5.72
"Canoeing, rowing, moderate (var 57)",384.31,427.67,629.86,729.17,1.49,566.14,473.78,453.72,646.52,672.85,Moderate,Cardio,0.36,6.54
"Cycling, 10-11.9 mph, light (var 18)",403.99,371.49,516.25,590.4,1.14,437.89,375.47,475.85,522.82,498.42,Low,Cardio,0.27,5.84
Handball (var 49),652.77,867.71,1078.48,979.21,2.66,1003.69,729.22,907.1,948.14,1147.33,Unknown,Other,0.66,14.22
"Golf, walking and carrying clubs (var 57)",263.94,358.26,353.91,379.95,0.92,374.88,287.04,274.08,368.86,377.53,Unknown,Other,0.16,4.63
Instructing aerobic class (var 30),346.48,463.7,460.04,555.63,1.38,422.55,386.27,400.99,492.76,550.1,Unknown,Other,0.27,6.19
"Carrying 16 to 24 lbs, upstairs (var 51)",372.2,404.58,558.48,542.68,1.19,458.29,403.35,444.64,458.15,557.18,Unknown,Other,0.3,6.59
Bird watching (var 72),157.4,180.64,214.07,223.15,0.45,173.81,169.67,185.98,220.28,219.35,Unknown,Other,0.06,2.55
"Golf, driving range (var 68)",157.98,216.52,260.16,309.29,0.57,221.68,198.71,184.43,262.18,255.31,Unknown,Other,0.08,2.85
Stair machine (var 83),579.7,665.69,685.75,717.84,1.79,583.82,573.33,593.72,668.26,880.37,Unknown,Other,0.47,9.23
"Mowing lawn, riding mower (var 80)",132.35,197.21,208.52,200.28,0.54,199.45,139.83,165.45,230.54,207.65,Unknown,Other,0.07,2.83
"Climbing hills, carrying 21 to 42 lb (var 57)",503.63,601.64,692.6,810.35,1.87,565.3,473.41,613.24,716.62,690.73,Unknown,Other,0.35,7.91
"Running, training, pushing wheelchair (var 7)",524.13,560.86,743.77,824.19,1.75,521.76,439.82,610.24,728.85,772.48,Unknown,Cardio,0.39,8.0
"Canoeing, rowing, moderate (var 47)",361.66,453.66,546.0,627.85,1.31,517.63,438.72,457.49,555.55,683.52,Moderate,Cardio,0.33,6.79
"Rowing machine, light (var 2)",187.53,222.45,302.97,301.43,0.62,244.92,217.91,271.32,295.55,310.74,Low,Cardio,0.11,3.6
"Riding a horse, general (var 51)",244.96,298.77,306.78,414.14,0.91,293.76,262.39,300.95,284.62,357.09,Unknown,Other,0.14,3.75
"Backpacking, Hiking with pack (var 61)",427.08,545.27,610.77,656.41,1.29,464.78,382.02,475.88,495.07,699.78,Unknown,Other,0.35,7.97
"Weight lifting, light workout (var 47)",183.13,206.14,272.57,270.62,0.65,218.6,174.65,218.47,214.04,312.2,Low,Strength,0.1,3.37
"Skin diving, scuba diving (var 31)",422.01,534.43,589.55,575.17,1.28,512.67,381.42,517.71,645.73,648.67,Unknown,Other,0.36,6.75
"Basketball, wheelchair (var 73)",373.58,420.11,464.28,635.16,1.5,429.86,370.11,417.84,546.14,596.84,Unknown,Other,0.31,7.61
Wallyball (var 70),436.12,452.21,618.49,645.39,1.3,491.45,467.25,562.7,539.84,736.9,Unknown,Other,0.34,8.2
"Golf, using power cart (var 67)",184.74,261.77,325.76,298.66,0.82,257.22,199.7,252.79,327.82,358.68,Unknown,Other,0.13,4.17
"Cross country skiing, uphill (var 77)",973.91,1122.66,1441.0,1670.09,3.28,1288.48,838.19,987.24,1524.47,1659.49,Unknown,Other,0.82,17.93
"Cricket (batting, bowling) (var 64)",287.75,354.09,428.44,513.08,0.94,420.71,257.68,395.64,360.42,434.47,Unknown,Other,0.24,5.43
"Standing, playing with children, light (var 66)",175.76,169.79,250.39,244.99,0.56,188.88,146.73,225.3,196.51,285.26,Low,Other,0.08,2.98
"Rowing machine, very vigorous (var 56)",675.08,950.63,940.93,1134.69,2.79,919.81,764.03,891.02,851.35,1083.69,High,Cardio,0.64,12.89
"Surfing, body surfing or board surfing (var 38)",182.53,191.53,254.28,273.59,0.57,196.32,170.92,202.42,236.92,244.35,Unknown,Other,0.09,3.32
"Golf, walking and carrying clubs (var 20)",251.82,275.09,324.5,438.32,0.86,311.27,254.08,362.64,336.57,428.96,Unknown,Other,0.21,5.01
"Stationary cycling, vigorous (var 24)",559.97,680.79,759.92,839.65,2.38,832.66,586.67,642.83,985.36,957.08,High,Cardio,0.58,9.73
"Walk/run, playing with children, moderate (var 35)",235.86,319.71,349.41,378.64,0.77,266.4,209.92,240.07,295.83,357.62,Moderate,Other,0.16,3.77
"Teach physical education,exercise class (var 22)",251.93,274.49,346.72,340.43,0.8,324.08,238.86,316.15,353.36,322.08,Unknown,Other,0.17,3.81
"Children's games, hopscotch, dodgeball (var 38)",291.2,332.78,357.13,509.77,1.07,329.32,256.74,356.21,370.81,424.84,Unknown,Other,0.21,5.35
Kickball (var 77),474.78,487.38,554.3,664.72,1.5,517.74,387.25,492.78,565.7,647.42,Unknown,Other,0.3,8.5
"Weight lifting, body building, vigorous (var 17)",389.59,385.17,537.6,481.04,1.37,409.03,322.26,415.19,540.63,500.44,High,Strength,0.31,7.44
Instructing aerobic class (var 47),310.01,404.22,547.95,595.28,1.12,416.37,374.66,477.72,446.11,554.3,Unknown,Other,0.27,5.98
"Sledding, tobagganing, luge (var 82)",465.76,552.28,652.9,559.75,1.26,456.83,366.88,535.32,628.15,635.22,Unknown,Other,0.37,8.52
"Volleyball, competitive (var 7)",415.67,634.44,705.64,691.79,1.61,563.11,414.87,578.49,700.06,724.5,Unknown,Other,0.39,8.89
"Stretching, hatha yoga (var 63)",219.5,272.51,310.74,362.35,0.84,312.42,216.74,242.5,321.48,322.24,Unknown,Flexibility,0.13,3.72
Swimming butterfly (var 83),611.69,822.66,859.87,1090.29,2.19,816.1,718.11,699.09,1016.81,1168.11,Unknown,Other,0.6,12.47
"Rock climbing, ascending rock (var 33)",601.01,691.01,961.85,913.29,1.96,783.9,687.31,738.17,848.82,1131.79,Unknown,Other,0.59,13.44
"Basketball game, competitive (var 60)",495.51,521.93,593.91,751.1,1.77,668.6,447.28,497.55,685.63,854.72,Unknown,Other,0.37,7.97
"Cross country snow skiing, slow (var 67)",455.74,533.88,560.76,667.63,1.49,557.15,439.9,452.72,594.9,559.33,Low,Other,0.29,8.41
"Running, on a track, team practice (var 98)",579.95,689.58,932.74,997.95,1.83,860.03,604.73,649.84,935.61,971.25,Unknown,Cardio,0.53,12.1
"Track and field (high jump, pole vault) (var 44)",313.52,372.15,503.56,620.43,1.13,455.12,338.88,415.88,541.45,512.5,High,Other,0.29,7.02
Trampoline (var 36),197.34,268.73,270.9,340.41,0.77,298.65,195.15,232.45,252.75,321.61,Unknown,Other,0.13,3.24
Carrying heavy loads (var 97),423.17,619.9,741.09,660.62,1.63,535.16,499.29,618.45,700.27,825.47,Unknown,Other,0.35,8.94
"Horesback riding, saddling horse (var 12)",229.38,264.6,283.24,349.72,0.62,296.95,186.22,244.74,291.61,297.14,Unknown,Other,0.14,4.0
"Speed skating, ice, competitive (var 88)",871.29,975.32,1329.35,1218.28,3.02,1311.08,992.36,1157.41,1271.66,1204.62,Unknown,Other,0.83,14.0
"Calisthenics, light (var 84)",237.65,261.55,307.17,369.66,0.77,267.3,203.07,252.48,271.89,361.22,Low,Strength,0.11,3.87
"Hiking, cross country (var 95)",351.9,417.93,416.87,581.99,1.34,455.04,329.81,474.13,492.68,636.49,Unknown,Other,0.26,6.88
"Softball, pitching (var 73)",342.11,450.37,516.23,533.87,1.19,402.8,363.25,359.8,421.71,479.59,Unknown,Other,0.24,5.97
"Running, general (var 24)",481.78,626.59,618.21,748.35,1.69,693.9,402.85,491.93,711.79,794.34,Unknown,Cardio,0.4,8.77
Carrying heavy loads (var 89),481.41,516.92,619.53,817.92,1.65,553.95,523.46,487.12,694.39,775.4,Unknown,Other,0.36,9.55
Jai alai (var 92),783.67,916.7,1043.32,1265.31,2.57,885.79,628.01,829.61,968.09,1104.01,Unknown,Other,0.7,13.8
"Tennis, singles (var 37)",529.35,587.88,610.48,754.27,1.53,593.05,426.01,631.16,578.91,741.08,Unknown,Other,0.36,7.64
"Jumping rope, slow (var 40)",505.71,618.16,594.06,683.6,1.56,680.98,535.65,513.32,715.74,719.0,Low,Other,0.36,8.6
Raking lawn (var 3),220.21,326.6,397.59,397.87,0.94,307.22,232.85,293.44,388.72,363.09,Unknown,Other,0.19,4.97
"Martial arts, tae kwan do (var 52)",609.68,691.89,742.5,879.87,2.14,754.08,513.65,618.93,897.18,1067.46,Unknown,Other,0.57,11.18
Bird watching (var 88),163.75,199.28,173.55,212.51,0.52,167.42,143.79,196.22,208.44,257.84,Unknown,Other,0.05,2.77
"Running, 8 mph (7.5 min mile) (var 92)",894.92,993.79,1183.78,1435.65,2.45,962.95,779.04,966.65,940.09,1443.87,Unknown,Cardio,0.83,13.37
"Running, training, pushing wheelchair (var 62)",482.99,510.72,656.11,791.59,1.69,602.45,472.71,505.44,624.62,790.11,Unknown,Cardio,0.37,8.51
"Football or baseball, playing catch (var 65)",146.27,156.54,230.53,214.93,0.52,163.75,166.49,174.09,233.44,213.9,Unknown,Other,0.07,2.35
"Riding a horse, general (var 84)",262.59,315.49,370.63,358.04,0.88,346.89,233.98,300.31,292.68,379.9,Unknown,Other,0.15,4.79
"Teach physical education,exercise class (var 93)",261.65,321.98,308.74,348.86,0.94,343.48,270.36,297.29,326.13,329.02,Unknown,Other,0.17,4.96
"Diving, springboard or platform (var 37)",189.55,217.38,274.63,250.54,0.59,256.61,201.13,228.16,273.51,255.17,Unknown,Other,0.09,3.36
"Backpacking, Hiking with pack (var 82)",438.02,537.51,557.31,565.08,1.51,593.64,457.46,459.12,564.29,733.18,Unknown,Other,0.36,7.33
"Walking 3.5 mph, uphill (var 44)",328.78,457.31,531.5,526.34,1.39,414.22,390.75,391.16,492.23,608.1,Unknown,Other,0.24,6.54
Playing racquetball (var 38),375.72,522.12,543.81,712.71,1.57,533.21,418.36,431.45,654.32,673.19,Unknown,Other,0.3,7.52
"Ballet, twist, jazz, tap (var 17)",245.85,310.93,364.51,476.17,0.83,338.73,246.46,303.75,419.38,410.78,Unknown,Other,0.15,5.2
"Walking 4.0 mph, very brisk (var 27)",314.42,397.57,373.05,439.82,0.89,414.92,260.04,339.63,354.62,522.59,Unknown,Other,0.2,6.02
Snowmobiling (var 1),203.15,228.4,325.72,278.72,0.74,283.38,206.86,217.46,293.81,366.78,Unknown,Other,0.14,3.65
"Speed skating, ice, competitive (var 45)",889.96,1181.51,1179.81,1314.19,3.17,1270.4,933.41,1069.04,1280.7,1322.14,Unknown,Other,0.86,18.71
Water polo (var 38),542.29,657.57,866.14,978.46,1.99,730.47,606.03,671.7,725.2,827.32,Unknown,Other,0.52,12.48
"Aerobics, step aerobics (var 83)",476.17,569.7,684.63,871.95,1.85,702.45,534.35,573.86,786.45,715.78,Unknown,Cardio,0.42,8.37
"Roller blading, in-line skating (var 67)",799.08,865.72,985.4,1148.81,2.28,816.29,719.46,827.66,1083.81,1262.46,Unknown,Other,0.61,12.65
"Running, 5 mph (12 minute mile) (var 33)",409.32,530.41,670.99,698.74,1.71,655.58,439.71,517.43,751.44,811.18,Unknown,Cardio,0.38,9.4
Mild stretching (var 47),167.82,185.73,230.93,234.24,0.58,212.98,163.59,194.88,209.34,246.07,Low,Flexibility,0.06,3.02
"Weight lifting, body building, vigorous (var 67)",316.97,434.83,550.31,507.31,1.16,443.91,315.02,414.5,459.05,519.82,High,Strength,0.28,6.32
"Walk/run, playing with children, moderate (var 77)",264.6,241.75,362.44,395.7,0.74,295.08,249.14,315.86,362.18,316.34,Moderate,Other,0.17,4.65
"Cross country skiing, vigorous (var 91)",484.86,565.63,832.98,797.12,2.08,587.16,600.63,676.47,692.77,846.78,High,Other,0.4,8.91
Juggling (var 88),210.76,287.73,337.04,357.57,0.72,279.33,271.35,308.81,285.71,316.87,Unknown,Other,0.13,4.89
"Ice skating, < 9 mph (var 5)",346.11,334.64,432.99,465.5,1.29,418.54,313.15,389.45,428.85,467.27,Unknown,Other,0.26,5.08
"Football, touch, flag, general (var 22)",504.85,625.48,618.47,774.47,1.51,534.33,434.08,489.14,569.58,798.11,Unknown,Other,0.34,9.52
Water volleyball (var 91),185.1,223.94,268.23,237.43,0.68,225.75,191.6,202.75,216.44,278.49,Unknown,Other,0.09,3.24
Pushing a wheelchair (var 36),255.62,260.69,338.15,369.61,0.87,303.08,250.4,241.05,366.85,354.48,Unknown,Other,0.15,4.48
Playing volleyball (var 73),180.2,203.07,229.89,283.75,0.55,232.96,164.58,236.98,233.02,268.63,Unknown,Other,0.08,3.37
Watering lawn or garden (var 18),88.08,110.27,130.79,124.81,0.28,106.19,76.66,107.19,139.24,128.94,Unknown,Other,0.0,1.81
Raking lawn (var 22),224.89,276.14,374.01,368.52,0.89,291.22,216.46,298.81,335.18,441.44,Unknown,Other,0.19,4.68
"Calisthenics, light (var 54)",186.99,276.15,301.43,369.24,0.65,235.36,181.07,222.18,274.44,290.73,Low,Strength,0.14,3.99
Bathing dog (var 79),178.47,275.99,316.44,358.37,0.62,279.22,221.06,229.69,244.79,316.82,Unknown,Other,0.12,4.31
"Backpacking, Hiking with pack (var 93)",441.94,471.45,609.85,568.36,1.51,525.3,456.8,442.83,491.95,734.23,Unknown,Other,0.31,7.21
"Walking 4.0 mph, very brisk (var 42)",297.91,401.3,452.46,475.52,1.08,324.44,272.49,308.68,440.47,512.57,Unknown,Other,0.19,5.76
"Football, competitive (var 39)",474.51,540.72,768.45,917.52,1.87,659.28,513.27,590.23,647.08,869.49,Unknown,Other,0.42,8.73
Swimming synchronized (var 41),416.52,544.54,681.0,652.13,1.57,528.05,426.07,587.83,561.98,753.9,Unknown,Other,0.4,8.45
"Cycling, 12-13.9 mph, moderate (var 64)",461.45,517.28,561.73,825.97,1.73,671.31,493.86,608.06,658.46,746.04,Moderate,Cardio,0.41,7.78
"Running, 5.2 mph (11.5 minute mile) (var 51)",511.68,567.1,632.06,934.91,2.04,763.8,583.78,600.89,796.68,877.53,Unknown,Cardio,0.49,11.21
"Horesback riding, saddling horse (var 60)",201.71,277.43,285.97,345.48,0.7,284.74,215.61,240.46,277.3,346.66,Unknown,Other,0.13,3.73
"Soccer, competitive (var 23)",670.86,790.65,777.5,824.79,2.0,840.48,563.94,604.7,729.63,938.27,Unknown,Other,0.54,11.18
Squash (var 73),740.76,952.57,861.94,1273.53,2.24,1037.88,703.97,944.15,1020.82,1259.04,Unknown,Other,0.73,12.97
"Soccer, competitive (var 56)",645.2,604.8,904.58,1012.22,2.14,672.37,524.84,720.1,841.94,958.63,Unknown,Other,0.58,10.7
Walking downstairs (var 87),173.23,193.66,277.58,256.34,0.55,249.36,168.33,217.05,245.38,239.79,Unknown,Other,0.09,2.97
"Racquetball, competitive (var 34)",601.51,613.64,818.03,960.23,1.79,701.87,600.44,634.57,860.97,1064.98,Unknown,Other,0.54,11.84
Instructing aerobic class (var 94),386.91,362.43,424.52,591.32,1.07,387.68,354.84,484.66,556.58,636.52,Unknown,Other,0.31,7.21
General housework (var 37),205.35,238.77,258.28,310.67,0.82,228.47,210.93,239.67,265.52,357.31,Unknown,Other,0.1,3.67
"Carrying infant, upstairs (var 26)",313.69,325.23,351.46,510.18,0.93,391.1,306.56,351.36,395.95,507.65,Unknown,Other,0.22,6.01
"Walking, under 2.0 mph, very slow (var 66)",110.36,150.76,182.05,178.6,0.43,151.48,106.06,158.82,175.09,207.51,Low,Other,0.03,2.14
"Frisbee, ultimate frisbee (var 65)",450.2,588.18,573.0,758.31,1.41,673.9,414.66,506.07,573.0,810.61,Unknown,Other,0.38,7.56
